学号,知识点id,年份,分数
183423050114,1777575459425492992,2023-2024,-1
193401010122,1777575459425492992,2023-2024,-1
203401050130,1777575459425492992,2023-2024,-1
203406010614,1777575459425492992,2023-2024,-1
203409010318,1777575459425492992,2023-2024,-1
213401010106,1777575459425492992,2023-2024,-1
213401040108,1777575459425492992,2023-2024,-1
213401050132,1777575459425492992,2023-2024,-1
213401050217,1777575459425492992,2023-2024,-1
213401050227,1777575459425492992,2023-2024,-1
213401050230,1777575459425492992,2023-2024,-1
213412010226,1777575459425492992,2023-2024,-1
213428030211,1777575459425492992,2023-2024,-1
213428040133,1777575459425492992,2023-2024,-1
213428040214,1777575459425492992,2023-2024,-1
223401010101,1777575459425492992,2023-2024,-1
223401010102,1777575459425492992,2023-2024,-1
223401010103,1777575459425492992,2023-2024,-1
223401010104,1777575459425492992,2023-2024,-1
223401010105,1777575459425492992,2023-2024,-1
223401010106,1777575459425492992,2023-2024,-1
223401010107,1777575459425492992,2023-2024,-1
223401010108,1777575459425492992,2023-2024,-1
223401010109,1777575459425492992,2023-2024,-1
223401010110,1777575459425492992,2023-2024,-1
223401010112,1777575459425492992,2023-2024,-1
223401010113,1777575459425492992,2023-2024,-1
223401010114,1777575459425492992,2023-2024,-1
223401010115,1777575459425492992,2023-2024,-1
223401010116,1777575459425492992,2023-2024,-1
223401010117,1777575459425492992,2023-2024,-1
223401010118,1777575459425492992,2023-2024,-1
223401010119,1777575459425492992,2023-2024,-1
223401010120,1777575459425492992,2023-2024,-1
223401010121,1777575459425492992,2023-2024,-1
223401010122,1777575459425492992,2023-2024,-1
223401010123,1777575459425492992,2023-2024,-1
223401010124,1777575459425492992,2023-2024,-1
223401010125,1777575459425492992,2023-2024,-1
223401010126,1777575459425492992,2023-2024,-1
223401010127,1777575459425492992,2023-2024,-1
223401010128,1777575459425492992,2023-2024,-1
223401010129,1777575459425492992,2023-2024,-1
223401010130,1777575459425492992,2023-2024,-1
223401010131,1777575459425492992,2023-2024,-1
223401010132,1777575459425492992,2023-2024,-1
223401010133,1777575459425492992,2023-2024,-1
223401010134,1777575459425492992,2023-2024,-1
223401010136,1777575459425492992,2023-2024,-1
223401010137,1777575459425492992,2023-2024,-1
223401010138,1777575459425492992,2023-2024,-1
223401010140,1777575459425492992,2023-2024,-1
223401010201,1777575459425492992,2023-2024,-1
223401010202,1777575459425492992,2023-2024,-1
223401010203,1777575459425492992,2023-2024,-1
223401010204,1777575459425492992,2023-2024,-1
223401010205,1777575459425492992,2023-2024,-1
223401010206,1777575459425492992,2023-2024,-1
223401010207,1777575459425492992,2023-2024,-1
223401010208,1777575459425492992,2023-2024,-1
223401010209,1777575459425492992,2023-2024,-1
223401010210,1777575459425492992,2023-2024,-1
223401010211,1777575459425492992,2023-2024,-1
223401010212,1777575459425492992,2023-2024,-1
223401010214,1777575459425492992,2023-2024,-1
223401010215,1777575459425492992,2023-2024,-1
223401010216,1777575459425492992,2023-2024,-1
223401010217,1777575459425492992,2023-2024,-1
223401010218,1777575459425492992,2023-2024,-1
223401010219,1777575459425492992,2023-2024,-1
