学号,知识点id,分数
183423050114,1,-1
193401010122,1,-1
203401050130,1,-1
203406010614,1,-1
203409010318,1,-1
213401010106,1,-1
213401040108,1,-1
213401050132,1,-1
213401050217,1,-1
213401050227,1,-1
213401050230,1,-1
213412010226,1,-1
213428030211,1,-1
213428040133,1,-1
213428040214,1,-1
223401010101,1,-1
223401010102,1,-1
223401010103,1,-1
223401010104,1,-1
223401010105,1,-1
223401010106,1,-1
223401010107,1,-1
223401010108,1,-1
223401010109,1,-1
223401010110,1,-1
223401010112,1,-1
223401010113,1,-1
223401010114,1,-1
223401010115,1,-1
223401010116,1,-1
223401010117,1,-1
223401010118,1,-1
223401010119,1,-1
223401010120,1,-1
223401010121,1,-1
223401010122,1,-1
223401010123,1,-1
223401010124,1,-1
223401010125,1,-1
223401010126,1,-1
223401010127,1,-1
223401010128,1,-1
223401010129,1,-1
223401010130,1,-1
223401010131,1,-1
223401010132,1,-1
223401010133,1,-1
223401010134,1,-1
223401010136,1,-1
223401010137,1,-1
223401010138,1,-1
223401010140,1,-1
223401010201,1,-1
223401010202,1,-1
223401010203,1,-1
223401010204,1,-1
223401010205,1,-1
223401010206,1,-1
223401010207,1,-1
223401010208,1,-1
223401010209,1,-1
223401010210,1,-1
223401010211,1,-1
223401010212,1,-1
223401010214,1,-1
223401010215,1,-1
223401010216,1,-1
223401010217,1,-1
223401010218,1,-1
223401010219,1,-1
223401010220,1,-1
223401010221,1,-1
223401010222,1,-1
223401010223,1,-1
223401010224,1,-1
223401010225,1,-1
223401010226,1,-1
223401010227,1,-1
223401010228,1,-1
223401010229,1,-1
223401010230,1,-1
223401010231,1,-1
223401010232,1,-1
223401010233,1,-1
223401010234,1,-1
223401010235,1,-1
223401010236,1,-1
223401010237,1,-1
223401010238,1,-1
223401010301,1,-1
223401010302,1,-1
223401010303,1,-1
223401010304,1,-1
223401010305,1,-1
223401010306,1,-1
223401010307,1,-1
223401010308,1,-1
223401010310,1,-1
223401010311,1,-1
223401010312,1,-1
223401010313,1,-1
223401010314,1,-1
223401010315,1,-1
223401010316,1,-1
223401010317,1,-1
223401010318,1,-1
223401010319,1,-1
223401010320,1,-1
223401010321,1,-1
223401010322,1,-1
223401010323,1,-1
223401010324,1,-1
223401010325,1,-1
223401010326,1,-1
223401010327,1,-1
223401010328,1,-1
223401010329,1,-1
223401010330,1,-1
223401010331,1,-1
223401010332,1,-1
223401010334,1,-1
223401010335,1,-1
223401010401,1,-1
223401010402,1,-1
223401010403,1,-1
223401010404,1,-1
223401010405,1,-1
223401010406,1,-1
223401010407,1,-1
223401010408,1,-1
223401010409,1,-1
223401010410,1,-1
223401010411,1,-1
223401010412,1,-1
223401010413,1,-1
223401010414,1,-1
223401010415,1,-1
223401010416,1,-1
223401010417,1,-1
223401010418,1,-1
223401010419,1,-1
223401010420,1,-1
223401010421,1,-1
223401010422,1,-1
223401010423,1,-1
223401010424,1,-1
223401010425,1,-1
223401010426,1,-1
223401010427,1,-1
223401010428,1,-1
223401010429,1,-1
223401010430,1,-1
223401010431,1,-1
223401010432,1,-1
223401010433,1,-1
223401010434,1,-1
223401010435,1,-1
223401040101,1,-1
223401040102,1,-1
223401040103,1,-1
223401040104,1,-1
223401040105,1,-1
223401040106,1,-1
223401040107,1,-1
223401040108,1,-1
223401040109,1,-1
223401040110,1,-1
223401040111,1,-1
223401040112,1,-1
223401040113,1,-1
223401040114,1,-1
223401040115,1,-1
223401040116,1,-1
223401040117,1,-1
223401040118,1,-1
223401040119,1,-1
223401040120,1,-1
223401040121,1,-1
223401040122,1,-1
223401040123,1,-1
223401040124,1,-1
223401040125,1,-1
223401040126,1,-1
223401040127,1,-1
223401040128,1,-1
223401040129,1,-1
223401040130,1,-1
223401040131,1,-1
223401040132,1,-1
223401040133,1,-1
223401040134,1,-1
223401040135,1,-1
223401040201,1,-1
223401040202,1,-1
223401040203,1,-1
223401040204,1,-1
223401040205,1,-1
